id,name,quantity,type_id,waiting_period_id
0,0,0,10,1
3254,AE2,0,40,1
3255,AE3,0,40,1
3256,AE4,0,40,1
3257,AE5,0,40,1
3258,AE6,0,40,1
3259,AE7,0,40,1
3260,AE8,0,40,1
3261,AP63,0,40,1
3262,AP71,0,40,1
3263,AP80,0,40,1
3264,AP90,0,40,1
3265,AP100,0,40,1
3266,AP112,0,40,1
3267,AP132,0,40,1
3268,AP160,0,40,1
3269,AP180,0,40,1
3270,AP200,0,40,1
3271,AP225,0,40,1
3272,AP250,0,40,1
3273,AP280,0,40,1
3274,AS40,0,40,1
3275,AS55,0,40,1
3276,AS60,0,40,1
3277,AS70,0,40,1
3278,AS80,0,40,1
3279,AS90,0,40,1
3280,AS100,0,40,1
3281,AS125,0,40,1
3282,AS140,0,40,1
3283,AS160,0,40,1
3284,AS180,0,40,1
3285,AS190,0,40,1
3286,AS240,0,40,1
3287,AS260,0,40,1
3288,AS315,0,40,1
3289,AS450,0,40,1
3290,SD3_Z_FR10,0,20,1
3291,SD4_Z_FR10,0,20,1
3292,SD5_Z_FR10,0,20,1
3293,SD6_Z_FR10,0,20,1
3294,SD7_Z_FR10,0,20,1
3295,SD8_Z_FR10,0,20,1
3296,SD9_Z_FR10,0,20,1
3297,SD10_Z_FR10,0,20,1
3298,SD12_Z_FR10,0,20,1
3299,SD15_Z_FR10,0,20,1
3300,SD16_Z_FR10,0,20,1
3301,SD18_Z_FR20,0,20,1
3302,VT3_Z_FR20,0,30,1
3303,VT4_Z_FR20,0,30,1
3304,VT5_Z_FR20,0,30,1
3305,VT6_Z_FR20,0,30,1
3306,VT7_Z_FR20,0,30,1
3307,VT8_Z_FR20,0,30,1
3308,VT9_Z_FR20,0,30,1
3309,VT10_Z_FR20,0,30,1
3310,VT12_Z_FR20,0,30,1
3311,VT13_Z_FR20,0,30,1
3312,VT14_Z_FR20,0,30,1
3313,VT15_Z_FR20,0,30,1
3314,VT16_Z_FR20,0,30,1
3315,VT18_Z_FR20,0,30,1
3316,T3_Z_FR30,0,30,1
3317,T4_Z_FR30,0,30,1
3318,T5_Z_FR30,0,30,1
3319,T6_Z_FR30,0,30,1
3320,T7_Z_FR30,0,30,1
3321,T8_Z_FR30,0,30,1
3322,T9_Z_FR30,0,30,1
3323,T10_Z_FR30,0,30,1
3324,T12_Z_FR30,0,30,1
3325,T13_Z_FR30,0,30,1
3326,T14_Z_FR30,0,30,1
3327,T15_Z_FR30,0,30,1
3328,T16_Z_FR30,0,30,1
3329,T18_Z_FR30,0,30,1
3330,BL3_Z_FR40,0,30,1
3331,BL4_Z_FR40,0,30,1
3332,BL5_Z_FR40,0,30,1
3333,BL6_Z_FR40,0,30,1
3334,BL7_Z_FR40,0,30,1
3335,BL8_Z_FR40,0,30,1
3336,BL9_Z_FR40,0,30,1
3337,BL10_Z_FR40,0,30,1
3338,BL12_Z_FR40,0,30,1
3339,BL13_Z_FR40,0,30,1
3340,BL14_Z_FR40,0,30,1
3341,BL15_Z_FR40,0,30,1
3342,BL16_Z_FR40,0,30,1
3343,BL18_Z_FR40,0,30,1
3344,PT_FR50,0,30,1
3345,H1_FR60,0,30,1
3346,H2_FR60,0,30,1
3347,H3_FR60,0,30,1
3348,GL_FR70,0,30,1
3349,OLL_FR80,0,30,1
3350,PTB_FR90,0,30,1
3351,SB3_Z_FR100,0,20,1
3352,SB4_Z_FR100,0,20,1
3353,SB5_Z_FR100,0,20,1
3354,SB6_Z_FR100,0,20,1
3355,SB7_Z_FR100,0,20,1
3356,SB8_Z_FR100,0,20,1
3357,SB9_Z_FR100,0,20,1
3358,SB10_Z_FR100,0,20,1
3359,SB12_Z_FR100,0,20,1
3360,SB13_Z_FR100,0,20,1
3361,SB14_Z_FR100,0,20,1
3362,SB16_Z_FR100,0,20,1
3363,HTS3_Z_FR110,0,20,1
3364,HTS4_Z_FR110,0,20,1
3365,HTS5_Z_FR110,0,20,1
3366,HTS6_Z_FR110,0,20,1
3367,HTS7_Z_FR110,0,20,1
3368,HTS8_Z_FR110,0,20,1
3369,HTS9_Z_FR110,0,20,1
3370,HTS10_Z_FR110,0,20,1
3371,HTS12_Z_FR110,0,20,1
3372,HTS13_Z_FR110,0,20,1
3373,HTS14_Z_FR110,0,20,1
3374,HTS15_Z_FR110,0,20,1
3375,HTS16_Z_FR110,0,20,1
3376,HTS18_Z_FR110,0,20,1
3377,CLPISO220,0,110,1
3378,CLPISOVG68,0,110,1
3379,CLPISOPAOVG68,0,110,1
3380,CLPISOPAOVG460,0,110,1
3381,CLPISOH1VG460,0,110,1
3382,C3-size-3,0,120,1
3383,C3-size-4,0,120,1
3384,C3-size-5,0,120,1
3385,C3-size-6,0,120,1
3386,C3-size-7,0,120,1
3387,C3-size-8,0,120,1
3388,C3-size-9,0,120,1
3389,C3-size-10,0,120,1
3390,C3-size-12,0,120,1
3391,C3-size-13,0,120,1
3392,C3-size-14,0,120,1
3393,C3-size-15,0,120,1
3394,C3-size-16,0,120,1
3395,C3-size-18,0,120,1
3396,C4-size-3,0,120,1
3397,C4-size-4,0,120,1
3398,C4-size-5,0,120,1
3399,C4-size-6,0,120,1
3400,C4-size-7,0,120,1
3401,C4-size-8,0,120,1
3402,C4-size-9,0,120,1
3403,C4-size-10,0,120,1
3404,C4-size-12,0,120,1
3405,C4-size-13,0,120,1
3406,C4-size-14,0,120,1
3407,C4-size-15,0,120,1
3408,C4-size-16,0,120,1
3409,C4-size-18,0,120,1
3410,K303B40,0,10,1
3411,K303B45,0,10,1
3412,K303B50,0,10,1
3413,K303B56,0,10,1
3414,K303B63,0,10,1
3415,K303B71,0,10,1
3416,K303B80,0,10,1
3417,K303B90,0,10,1
3418,K303C10,0,10,1
3419,K303C11,0,10,1
3420,K303C13,0,10,1
3421,K303C14,0,10,1
3422,K303C16,0,10,1
3423,K303C18,0,10,1
3424,K303C20,0,10,1
3425,K303C22,0,10,1
3426,K303C25,0,10,1
3427,K303C28,0,10,1
3428,K303C32,0,10,1
3429,K303C36,0,10,1
3430,K303C40,0,10,1
3431,K303C45,0,10,1
3432,K303C50,0,10,1
3433,K303C56,0,10,1
3434,K303C63,0,10,1
3435,K303C71,0,10,1
3436,K303C80,0,10,1
3437,K303C90,0,10,1
3438,K303D10,0,10,1
3439,K304B40,0,10,1
3440,K304B45,0,10,1
3441,K304B50,0,10,1
3442,K304B56,0,10,1
3443,K304B63,0,10,1
3444,K304B71,0,10,1
3445,K304B80,0,10,1
3446,K304B90,0,10,1
3447,K304C10,0,10,1
3448,K304C11,0,10,1
3449,K304C13,0,10,1
3450,K304C14,0,10,1
3451,K304C16,0,10,1
3452,K304C18,0,10,1
3453,K304C20,0,10,1
3454,K304C22,0,10,1
3455,K304C25,0,10,1
3456,K304C28,0,10,1
3457,K304C32,0,10,1
3458,K304C36,0,10,1
3459,K304C40,0,10,1
3460,K304C45,0,10,1
3461,K304C50,0,10,1
3462,K304C56,0,10,1
3463,K304C63,0,10,1
3464,K304C71,0,10,1
3465,K304C80,0,10,1
3466,K304C90,0,10,1
3467,K304D10,0,10,1
3468,K304D11,0,10,1
3469,K304D13,0,10,1
3470,K305B40,0,10,1
3471,K305B45,0,10,1
3472,K305B50,0,10,1
3473,K305B56,0,10,1
3474,K305B63,0,10,1
3475,K305B71,0,10,1
3476,K305B80,0,10,1
3477,K305B90,0,10,1
3478,K305C10,0,10,1
3479,K305C11,0,10,1
3480,K305C13,0,10,1
3481,K305C14,0,10,1
3482,K305C16,0,10,1
3483,K305C18,0,10,1
3484,K305C20,0,10,1
3485,K305C22,0,10,1
3486,K305C25,0,10,1
3487,K305C28,0,10,1
3488,K305C32,0,10,1
3489,K305C36,0,10,1
3490,K305C40,0,10,1
3491,K305C45,0,10,1
3492,K305C50,0,10,1
3493,K305C56,0,10,1
3494,K305C63,0,10,1
3495,K305C71,0,10,1
3496,K305C80,0,10,1
3497,K305C90,0,10,1
3498,K305D10,0,10,1
3499,K305D11,0,10,1
3500,K306B40,0,10,1
3501,K306B45,0,10,1
3502,K306B50,0,10,1
3503,K306B56,0,10,1
3504,K306B63,0,10,1
3505,K306B71,0,10,1
3506,K306B80,0,10,1
3507,K306B90,0,10,1
3508,K306C10,0,10,1
3509,K306C11,0,10,1
3510,K306C13,0,10,1
3511,K306C14,0,10,1
3512,K306C16,0,10,1
3513,K306C18,0,10,1
3514,K306C20,0,10,1
3515,K306C22,0,10,1
3516,K306C25,0,10,1
3517,K306C28,0,10,1
3518,K306C32,0,10,1
3519,K306C36,0,10,1
3520,K306C40,0,10,1
3521,K306C45,0,10,1
3522,K306C50,0,10,1
3523,K306C56,0,10,1
3524,K306C63,0,10,1
3525,K306C71,0,10,1
3526,K306C80,0,10,1
3527,K306C90,0,10,1
3528,K306D10,0,10,1
3529,K306D11,0,10,1
3530,K306D13,0,10,1
3531,K307B71,0,10,1
3532,K307B80,0,10,1
3533,K307B90,0,10,1
3534,K307C10,0,10,1
3535,K307C11,0,10,1
3536,K307C13,0,10,1
3537,K307C14,0,10,1
3538,K307C16,0,10,1
3539,K307C18,0,10,1
3540,K307C20,0,10,1
3541,K307C22,0,10,1
3542,K307C25,0,10,1
3543,K307C28,0,10,1
3544,K307C32,0,10,1
3545,K307C36,0,10,1
3546,K307C40,0,10,1
3547,K307C45,0,10,1
3548,K307C50,0,10,1
3549,K307C56,0,10,1
3550,K307C63,0,10,1
3551,K307C71,0,10,1
3552,K307C80,0,10,1
3553,K307C90,0,10,1
3554,K307D10,0,10,1
3555,K307D11,0,10,1
3556,K307D13,0,10,1
3557,K307D14,0,10,1
3558,K307D16,0,10,1
3559,K307D18,0,10,1
3560,K308B71,0,10,1
3561,K308B80,0,10,1
3562,K308B90,0,10,1
3563,K308C10,0,10,1
3564,K308C11,0,10,1
3565,K308C13,0,10,1
3566,K308C14,0,10,1
3567,K308C16,0,10,1
3568,K308C18,0,10,1
3569,K308C20,0,10,1
3570,K308C22,0,10,1
3571,K308C25,0,10,1
3572,K308C28,0,10,1
3573,K308C32,0,10,1
3574,K308C36,0,10,1
3575,K308C40,0,10,1
3576,K308C45,0,10,1
3577,K308C50,0,10,1
3578,K308C56,0,10,1
3579,K308C63,0,10,1
3580,K308C71,0,10,1
3581,K308C80,0,10,1
3582,K308C90,0,10,1
3583,K308D10,0,10,1
3584,K308D11,0,10,1
3585,K308D13,0,10,1
3586,K308D14,0,10,1
3587,K308D16,0,10,1
3588,K308D18,0,10,1
3589,K309B71,0,10,1
3590,K309B80,0,10,1
3591,K309B90,0,10,1
3592,K309C10,0,10,1
3593,K309C11,0,10,1
3594,K309C13,0,10,1
3595,K309C14,0,10,1
3596,K309C16,0,10,1
3597,K309C18,0,10,1
3598,K309C20,0,10,1
3599,K309C22,0,10,1
3600,K309C25,0,10,1
3601,K309C28,0,10,1
3602,K309C32,0,10,1
3603,K309C36,0,10,1
3604,K309C40,0,10,1
3605,K309C45,0,10,1
3606,K309C50,0,10,1
3607,K309C56,0,10,1
3608,K309C63,0,10,1
3609,K309C71,0,10,1
3610,K309C80,0,10,1
3611,K309C90,0,10,1
3612,K309D10,0,10,1
3613,K309D11,0,10,1
3614,K309D13,0,10,1
3615,K309D14,0,10,1
3616,K309D16,0,10,1
3617,K309D18,0,10,1
3618,K310B80,0,10,1
3619,K310B90,0,10,1
3620,K310C10,0,10,1
3621,K310C11,0,10,1
3622,K310C13,0,10,1
3623,K310C14,0,10,1
3624,K310C16,0,10,1
3625,K310C18,0,10,1
3626,K310C20,0,10,1
3627,K310C22,0,10,1
3628,K310C25,0,10,1
3629,K310C28,0,10,1
3630,K310C32,0,10,1
3631,K310C36,0,10,1
3632,K310C40,0,10,1
3633,K310C45,0,10,1
3634,K310C50,0,10,1
3635,K310C56,0,10,1
3636,K310C63,0,10,1
3637,K310C71,0,10,1
3638,K310C80,0,10,1
3639,K310C90,0,10,1
3640,K310D10,0,10,1
3641,K310D11,0,10,1
3642,K310D13,0,10,1
3643,K310D14,0,10,1
3644,K310D16,0,10,1
3645,K310D18,0,10,1
3646,K312B71,0,10,1
3647,K312B80,0,10,1
3648,K312B90,0,10,1
3649,K312C10,0,10,1
3650,K312C11,0,10,1
3651,K312C13,0,10,1
3652,K312C14,0,10,1
3653,K312C16,0,10,1
3654,K312C18,0,10,1
3655,K312C20,0,10,1
3656,K312C22,0,10,1
3657,K312C25,0,10,1
3658,K312C28,0,10,1
3659,K312C32,0,10,1
3660,K312C36,0,10,1
3661,K312C40,0,10,1
3662,K312C45,0,10,1
3663,K312C50,0,10,1
3664,K312C56,0,10,1
3665,K312C63,0,10,1
3666,K312C71,0,10,1
3667,K312C80,0,10,1
3668,K312C90,0,10,1
3669,K312D10,0,10,1
3670,K312D11,0,10,1
3671,K312D13,0,10,1
3672,K312D14,0,10,1
3673,K312D16,0,10,1
3674,K312D18,0,10,1
3675,K315C10,0,10,1
3676,K315C11,0,10,1
3677,K315C13,0,10,1
3678,K315C14,0,10,1
3679,K315C16,0,10,1
3680,K315C18,0,10,1
3681,K315C20,0,10,1
3682,K315C22,0,10,1
3683,K315C25,0,10,1
3684,K315C28,0,10,1
3685,K315C32,0,10,1
3686,K315C36,0,10,1
3687,K315C40,0,10,1
3688,K315C45,0,10,1
3689,K315C50,0,10,1
3690,K315C56,0,10,1
3691,K315C63,0,10,1
3692,K315C71,0,10,1
3693,K315C80,0,10,1
3694,K315C90,0,10,1
3695,K315D10,0,10,1
3696,K315D11,0,10,1
3697,K315D13,0,10,1
3698,K315D14,0,10,1
3699,K316C10,0,10,1
3700,K316C11,0,10,1
3701,K316C13,0,10,1
3702,K316C14,0,10,1
3703,K316C16,0,10,1
3704,K316C18,0,10,1
3705,K316C20,0,10,1
3706,K316C22,0,10,1
3707,K316C25,0,10,1
3708,K316C28,0,10,1
3709,K316C32,0,10,1
3710,K316C36,0,10,1
3711,K316C40,0,10,1
3712,K316C45,0,10,1
3713,K316C50,0,10,1
3714,K316C56,0,10,1
3715,K316C63,0,10,1
3716,K316C71,0,10,1
3717,K316C80,0,10,1
3718,K316C90,0,10,1
3719,K316D10,0,10,1
3720,K316D11,0,10,1
3721,K316D13,0,10,1
3722,K316D14,0,10,1
3723,K316D16,0,10,1
3724,K318C10,0,10,1
3725,K318C11,0,10,1
3726,K318C13,0,10,1
3727,K318C14,0,10,1
3728,K318C16,0,10,1
3729,K318C18,0,10,1
3730,K318C20,0,10,1
3731,K318C22,0,10,1
3732,K318C25,0,10,1
3733,K318C28,0,10,1
3734,K318C32,0,10,1
3735,K318C36,0,10,1
3736,K318C40,0,10,1
3737,K318C45,0,10,1
3738,K318C50,0,10,1
3739,K318C56,0,10,1
3740,K318C63,0,10,1
3741,K318C71,0,10,1
3742,K318C80,0,10,1
3743,K318C90,0,10,1
3744,K318D10,0,10,1
3745,K318D11,0,10,1
3746,K318D13,0,10,1
3747,K318D14,0,10,1
3748,K318D16,0,10,1
3749,F202B40,0,10,1
3750,F202B45,0,10,1
3751,F202B50,0,10,1
3752,F202B56,0,10,1
3753,F202B63,0,10,1
3754,F202B71,0,10,1
3755,F202B80,0,10,1
3756,F202B90,0,10,1
3757,F202C10,0,10,1
3758,F202C11,0,10,1
3759,F202C13,0,10,1
3760,F202C14,0,10,1
3761,F302C16,0,10,1
3762,F302C18,0,10,1
3763,F302C20,0,10,1
3764,F302C22,0,10,1
3765,F302C25,0,10,1
3766,F302C28,0,10,1
3767,F302C32,0,10,1
3768,F302C36,0,10,1
3769,F302C40,0,10,1
3770,F302C45,0,10,1
3771,F302C50,0,10,1
3772,F302C56,0,10,1
3773,F302C63,0,10,1
3774,F302C71,0,10,1
3775,F302C80,0,10,1
3776,F302C90,0,10,1
3777,F302D10,0,10,1
3778,F302D11,0,10,1
3779,F203B40,0,10,1
3780,F203B45,0,10,1
3781,F203B50,0,10,1
3782,F203B56,0,10,1
3783,F203B63,0,10,1
3784,F203B71,0,10,1
3785,F203B80,0,10,1
3786,F203B90,0,10,1
3787,F203C10,0,10,1
3788,F203C11,0,10,1
3789,F203C13,0,10,1
3790,F203C14,0,10,1
3791,F203C16,0,10,1
3792,F203C18,0,10,1
3793,F203C20,0,10,1
3794,F303C22,0,10,1
3795,F303C25,0,10,1
3796,F303C28,0,10,1
3797,F303C32,0,10,1
3798,F303C36,0,10,1
3799,F303C40,0,10,1
3800,F303C45,0,10,1
3801,F303C50,0,10,1
3802,F303C56,0,10,1
3803,F303C63,0,10,1
3804,F303C71,0,10,1
3805,F303C80,0,10,1
3806,F303C90,0,10,1
3807,F303D10,0,10,1
3808,F303D11,0,10,1
3809,F303D13,0,10,1
3810,F204B45,0,10,1
3811,F204B50,0,10,1
3812,F204B56,0,10,1
3813,F204B63,0,10,1
3814,F204B71,0,10,1
3815,F204B80,0,10,1
3816,F204B90,0,10,1
3817,F204C10,0,10,1
3818,F204C11,0,10,1
3819,F204C13,0,10,1
3820,F204C14,0,10,1
3821,F204C16,0,10,1
3822,F204C18,0,10,1
3823,F204C20,0,10,1
3824,F204C22,0,10,1
3825,F304C25,0,10,1
3826,F304C28,0,10,1
3827,F304C32,0,10,1
3828,F304C36,0,10,1
3829,F304C40,0,10,1
3830,F304C45,0,10,1
3831,F304C50,0,10,1
3832,F304C56,0,10,1
3833,F304C63,0,10,1
3834,F304C71,0,10,1
3835,F304C80,0,10,1
3836,F304C90,0,10,1
3837,F304D10,0,10,1
3838,F304D11,0,10,1
3839,F304D13,0,10,1
3840,F304D14,0,10,1
3841,F304D16,0,10,1
3842,F205B40,0,10,1
3843,F205B45,0,10,1
3844,F205B50,0,10,1
3845,F205B56,0,10,1
3846,F205B63,0,10,1
3847,F205B71,0,10,1
3848,F205B80,0,10,1
3849,F205B90,0,10,1
3850,F205C10,0,10,1
3851,F205C11,0,10,1
3852,F205C13,0,10,1
3853,F205C14,0,10,1
3854,F205C16,0,10,1
3855,F205C18,0,10,1
3856,F305C20,0,10,1
3857,F305C22,0,10,1
3858,F305C25,0,10,1
3859,F305C28,0,10,1
3860,F305C32,0,10,1
3861,F305C36,0,10,1
3862,F305C40,0,10,1
3863,F305C45,0,10,1
3864,F305C50,0,10,1
3865,F305C56,0,10,1
3866,F305C63,0,10,1
3867,F305C71,0,10,1
3868,F305C80,0,10,1
3869,F305C90,0,10,1
3870,F305D10,0,10,1
3871,F305D11,0,10,1
3872,F305D13,0,10,1
3873,F305D14,0,10,1
3874,F206B40,0,10,1
3875,F206B45,0,10,1
3876,F206B50,0,10,1
3877,F206B56,0,10,1
3878,F206B63,0,10,1
3879,F206B71,0,10,1
3880,F206B80,0,10,1
3881,F206B90,0,10,1
3882,F206C10,0,10,1
3883,F206C11,0,10,1
3884,F206C13,0,10,1
3885,F306C14,0,10,1
3886,F306C16,0,10,1
3887,F306C18,0,10,1
3888,F306C20,0,10,1
3889,F306C22,0,10,1
3890,F306C25,0,10,1
3891,F306C28,0,10,1
3892,F306C32,0,10,1
3893,F306C36,0,10,1
3894,F306C40,0,10,1
3895,F306C45,0,10,1
3896,F306C50,0,10,1
3897,F306C56,0,10,1
3898,F306C63,0,10,1
3899,F306C71,0,10,1
3900,F306C80,0,10,1
3901,F306C90,0,10,1
3902,F306D10,0,10,1
3903,F306D11,0,10,1
3904,F306D13,0,10,1
3905,F306D14,0,10,1
3906,F306D16,0,10,1
3907,F306D18,0,10,1
3908,F306D20,0,10,1
3909,F207B40,0,10,1
3910,F207B45,0,10,1
3911,F207B50,0,10,1
3912,F207B56,0,10,1
3913,F207B63,0,10,1
3914,F207B71,0,10,1
3915,F207B80,0,10,1
3916,F207B90,0,10,1
3917,F207C10,0,10,1
3918,F207C11,0,10,1
3919,F207C13,0,10,1
3920,F207C14,0,10,1
3921,F207C16,0,10,1
3922,F207C18,0,10,1
3923,F208B40,0,10,1
3924,F208B45,0,10,1
3925,F208B50,0,10,1
3926,F208B56,0,10,1
3927,F208B63,0,10,1
3928,F208B71,0,10,1
3929,F208B80,0,10,1
3930,F208B90,0,10,1
3931,F208C10,0,10,1
3932,F208C11,0,10,1
3933,F208C13,0,10,1
3934,F208C14,0,10,1
3935,F208C16,0,10,1
3936,F208C18,0,10,1
3937,F208C20,0,10,1
3938,F208C22,0,10,1
3939,F307C20,0,10,1
3940,F307C22,0,10,1
3941,F307C25,0,10,1
3942,F307C28,0,10,1
3943,F307C32,0,10,1
3944,F307C36,0,10,1
3945,F307C40,0,10,1
3946,F307C45,0,10,1
3947,F307C50,0,10,1
3948,F307C56,0,10,1
3949,F307C63,0,10,1
3950,F307C71,0,10,1
3951,F307C80,0,10,1
3952,F307C90,0,10,1
3953,F307D10,0,10,1
3954,F307D11,0,10,1
3955,F307D13,0,10,1
3956,F307D14,0,10,1
3957,F307D16,0,10,1
3958,F307D18,0,10,1
3959,F307D20,0,10,1
3960,F307D22,0,10,1
3961,F307D25,0,10,1
3962,F308C25,0,10,1
3963,F308C28,0,10,1
3964,F308C32,0,10,1
3965,F308C36,0,10,1
3966,F308C40,0,10,1
3967,F308C45,0,10,1
3968,F308C50,0,10,1
3969,F308C56,0,10,1
3970,F308C63,0,10,1
3971,F308C71,0,10,1
3972,F308C80,0,10,1
3973,F308C90,0,10,1
3974,F308D10,0,10,1
3975,F308D11,0,10,1
3976,F308D13,0,10,1
3977,F308D14,0,10,1
3978,F308D16,0,10,1
3979,F308D18,0,10,1
3980,F308D20,0,10,1
3981,F308D22,0,10,1
3982,F308D25,0,10,1
3983,F209B40,0,10,1
3984,F209B45,0,10,1
3985,F209B50,0,10,1
3986,F209B56,0,10,1
3987,F209B63,0,10,1
3988,F209B71,0,10,1
3989,F209B80,0,10,1
3990,F209B90,0,10,1
3991,F209C10,0,10,1
3992,F209C11,0,10,1
3993,F209C13,0,10,1
3994,F209C14,0,10,1
3995,F209C16,0,10,1
3996,F209C18,0,10,1
3997,F209C20,0,10,1
3998,F309C22,0,10,1
3999,F309C25,0,10,1
4000,F309C28,0,10,1
4001,F309C32,0,10,1
4002,F309C36,0,10,1
4003,F309C40,0,10,1
4004,F309C45,0,10,1
4005,F309C50,0,10,1
4006,F309C56,0,10,1
4007,F309C63,0,10,1
4008,F309C71,0,10,1
4009,F309C80,0,10,1
4010,F309C90,0,10,1
4011,F309D10,0,10,1
4012,F309D11,0,10,1
4013,F309D13,0,10,1
4014,F309D14,0,10,1
4015,F309D16,0,10,1
4016,F309D18,0,10,1
4017,F309D20,0,10,1
4018,F309D22,0,10,1
4019,F309D25,0,10,1
4020,F210B50,0,10,1
4021,F210B56,0,10,1
4022,F210B63,0,10,1
4023,F210B71,0,10,1
4024,F210B80,0,10,1
4025,F210B90,0,10,1
4026,F210C10,0,10,1
4027,F210C11,0,10,1
4028,F210C13,0,10,1
4029,F210C14,0,10,1
4030,F210C16,0,10,1
4031,F210C18,0,10,1
4032,F210C20,0,10,1
4033,F210C22,0,10,1
4034,F210C25,0,10,1
4035,F310C28,0,10,1
4036,F310C32,0,10,1
4037,F310C36,0,10,1
4038,F310C40,0,10,1
4039,F310C45,0,10,1
4040,F310C50,0,10,1
4041,F310C56,0,10,1
4042,F310C63,0,10,1
4043,F310C71,0,10,1
4044,F310C80,0,10,1
4045,F310C90,0,10,1
4046,F310D10,0,10,1
4047,F310D11,0,10,1
4048,F310D13,0,10,1
4049,F310D14,0,10,1
4050,F310D16,0,10,1
4051,F310D18,0,10,1
4052,F310D20,0,10,1
4053,F310D22,0,10,1
4054,F212B50,0,10,1
4055,F212B56,0,10,1
4056,F212B63,0,10,1
4057,F212B71,0,10,1
4058,F212B80,0,10,1
4059,F212B90,0,10,1
4060,F212C10,0,10,1
4061,F212C11,0,10,1
4062,F212C13,0,10,1
4063,F212C14,0,10,1
4064,F212C16,0,10,1
4065,F212C18,0,10,1
4066,F212C20,0,10,1
4067,F212C22,0,10,1
4068,F312C25,0,10,1
4069,F312C28,0,10,1
4070,F312C32,0,10,1
4071,F312C36,0,10,1
4072,F312C40,0,10,1
4073,F312C45,0,10,1
4074,F312C50,0,10,1
4075,F312C56,0,10,1
4076,F312C63,0,10,1
4077,F312C71,0,10,1
4078,F312C80,0,10,1
4079,F312C90,0,10,1
4080,F312D10,0,10,1
4081,F312D11,0,10,1
4082,F312D13,0,10,1
4083,F312D14,0,10,1
4084,F312D16,0,10,1
4085,F312D18,0,10,1
4086,F312D20,0,10,1
4087,F312D22,0,10,1
4088,F215B63,0,10,1
4089,F215B71,0,10,1
4090,F215B80,0,10,1
4091,F215B90,0,10,1
4092,F215C10,0,10,1
4093,F215C11,0,10,1
4094,F215C13,0,10,1
4095,F215C14,0,10,1
4096,F215C16,0,10,1
4097,F215C18,0,10,1
4098,F215C20,0,10,1
4099,F215C22,0,10,1
4100,F315C25,0,10,1
4101,F315C28,0,10,1
4102,F315C32,0,10,1
4103,F315C36,0,10,1
4104,F315C40,0,10,1
4105,F315C45,0,10,1
4106,F315C50,0,10,1
4107,F315C56,0,10,1
4108,F315C63,0,10,1
4109,F315C71,0,10,1
4110,F315C80,0,10,1
4111,F315C90,0,10,1
4112,F315D10,0,10,1
4113,F315D11,0,10,1
4114,F315D13,0,10,1
4115,F315D14,0,10,1
4116,F315D16,0,10,1
4117,F315D18,0,10,1
4118,K303C201D11,0,10,1
4119,K303C201D13,0,10,1
4120,K303C201D14,0,10,1
4121,K303C201D16,0,10,1
4122,K303C201D25,0,10,1
4123,K303C201D28,0,10,1
4124,K303C201D32,0,10,1
4125,K303C201D36,0,10,1
4126,K303C201D40,0,10,1
4127,K303C201D45,0,10,1
4128,K303C301D18,0,10,1
4129,K303C301D20,0,10,1
4130,K303C301D22,0,10,1
4131,K303C301D50,0,10,1
4132,K303C301D56,0,10,1
4133,K303C301D63,0,10,1
4134,K303C301D71,0,10,1
4135,K303C301D80,0,10,1
4136,K303C301D90,0,10,1
4137,K303C301E10,0,10,1
